xcb-util-image (0.4.1-3)
xcb-util-keysyms (0.4.1-5)
xcb-util-renderutil (0.3.10-2)
xcb-util-wm (0.4.2-2)
xcur2png (0.7.1-8)
xdg-dbus-proxy (0.1.6-1)
xdg-desktop-portal (1.20.3-2)
xdg-desktop-portal-gtk (1.15.3-1)
xdg-desktop-portal-hyprland (1.3.11-3)
xdg-user-dirs (0.19-2)
xdg-utils (1.2.1-2)
xf86-input-libinput (1.5.0-1)
xfconf (4.20.0-2)
xkeyboard-config (2.47-1)
xorg-fonts-encodings (1.1.0-1)
xorgproto (2025.1-1)
xorg-server (21.1.21-1)
xorg-server-common (21.1.21-1)
xorg-setxkbmap (1.3.4-2)
xorg-xauth (1.1.5-1)
xorg-xkbcomp (1.5.0-1)
xorg-xprop (1.2.8-1)
xorg-xrandr (1.5.3-1)
xorg-xwayland (24.1.9-1)
xvidcore (1.3.7-3)
xxhash (0.8.3-1)
xz (5.8.2-1)
yay (12.5.7-1)
yay-debug (12.5.7-1)
zbar (0.23.93-5)
zenity (4.2.1-1)
zeromq (4.3.5-3)
zimg (3.0.6-1)
zint (2.16.0-1)
zix (0.8.0-1)
zlib (1:1.3.2-2)
zlib-ng (2.3.3-1)
zsh (5.9-5)
zsh-autosuggestions (0.7.1-1)
zsh-syntax-highlighting (0.8.0-1)
zstd (1.5.7-3)
zvbi (0.2.44-1)
zxing-cpp (3.0.2-1)
